TOPIC,TAXONOMY,CLASSIFICATION,GROUP,SUBGROUP,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,Barrier_Type
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",2021,8.7,7.7,9.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",2022,10.9,9.8,12.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",2023,9.6,8.6,10.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",2024,10.0,9.0,11.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",2019,13.5,11.9,15.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",2020,10.9,9.1,12.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",2021,8.7,7.4,10.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",2022,11.3,9.8,13.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",2023,10.2,8.7,11.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",2024,9.3,8.1,10.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",2019,8.2,7.8,8.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",2020,6.9,6.5,7.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",2021,6.8,6.4,7.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",2022,6.2,5.8,6.6,Delayed Care
