Year,Barrier_Type,Demographic_Group,Highest_Subgroup,Highest_Rate,Lowest_Subgroup,Lowest_Rate,Disparity_Gap
2021,No mental health care due to cost,Race and Hispanic origin,"White only, non-Hispanic",4.4,"All races, Hispanic, Mexican",3.2,1.2000000000000002
2021,No mental health care due to cost,Sex,Female,5.6,Male,2.7,2.8999999999999995
2021,No mental health care due to cost,Sexual orientation,Bisexual,24.6,Straight,3.5,21.1
2021,No mental health care due to cost,Veteran status,Non-veteran,4.4,Veteran,1.6,2.8000000000000003
2021,No mental health care due to cost,Metropolitan statistical area,Large MSA,4.3,Non-MSA,3.4,0.8999999999999999
2021,No mental health care due to cost,Region,Midwest,4.5,Northeast,3.0,1.5
2021,No mental health care due to cost,Social vulnerability,Low social vulnerability,4.9,High social vulnerability,3.2,1.7000000000000002
2021,No mental health care due to cost,Urbanicity,Large central metro,4.7,Nonmetropolitan,3.4,1.3000000000000003
2021,No mental health care due to cost,Education,Some college,4.8,No high school diploma or GED,2.5,2.3
2021,No mental health care due to cost,Employment status,Employed - Part-time,6.3,Not employed - Has never worked,1.1,5.199999999999999
2021,No mental health care due to cost,Health insurance coverage: 65 years and older,Medicare Advantage,1.2,Uninsured,0.0,1.2
2021,No mental health care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,9.2,Other government coverage,4.3,4.8999999999999995
2021,No mental health care due to cost,Poverty level,<100% FPL,6.4,≥200% FPL,3.7,2.7
2021,Skipped medication as prescribed to save money,Age groups with 65 years and older,35-49 years,8.7,65 years and older,3.7,4.999999999999999
2021,Skipped medication as prescribed to save money,Age groups with 75 years and older,18-44 years,8.5,75 years and older,2.3,6.2
2021,Skipped medication as prescribed to save money,Disability status,With disability,13.0,Without disability,5.9,7.1
2021,Skipped medication as prescribed to save money,Functioning difficulties status,With functioning difficulties,9.5,Without functioning difficulties,3.8,5.7
2021,Skipped medication as prescribed to save money,Marital status,Divorced or separated,9.6,Widowed,4.2,5.3999999999999995
2021,Skipped medication as prescribed to save money,Nativity,Foreign-born,6.9,U.S.-born,6.7,0.20000000000000018
2021,Skipped medication as prescribed to save money,Race,Native Hawaiian or Other Pacific Islander only,21.5,Asian only,5.1,16.4
2021,Skipped medication as prescribed to save money,Race and Hispanic origin,"Black only, non-Hispanic",9.3,"White only, non-Hispanic",6.1,3.200000000000001
2021,Skipped medication as prescribed to save money,Sex,Female,7.5,Male,5.8,1.7000000000000002
2021,Skipped medication as prescribed to save money,Sexual orientation,Bisexual,17.8,Straight,6.3,11.5
2021,Skipped medication as prescribed to save money,Veteran status,Non-veteran,7.0,Veteran,3.7,3.3
2021,Skipped medication as prescribed to save money,Metropolitan statistical area,Non-MSA,8.3,Large MSA,6.4,1.9000000000000004
2021,Skipped medication as prescribed to save money,Region,South,8.2,Northeast,4.8,3.3999999999999995
2021,Skipped medication as prescribed to save money,Social vulnerability,Medium social vulnerability,7.7,Little to no social vulnerability,5.2,2.5
2021,Skipped medication as prescribed to save money,Urbanicity,Nonmetropolitan,8.3,Large fringe metro,5.9,2.4000000000000004
2021,Skipped medication as prescribed to save money,Education,No high school diploma or GED,9.0,College degree or higher,4.4,4.6
2021,Skipped medication as prescribed to save money,Employment status,Employed - Part-time,8.1,Not employed - Has never worked,2.6,5.5
2021,Skipped medication as prescribed to save money,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,5.7,Other government coverage,1.6,4.1
2021,Skipped medication as prescribed to save money,Health insurance coverage: Younger than 65 years,Uninsured,22.9,Private,6.5,16.4
2021,Skipped medication as prescribed to save money,Poverty level,<100% FPL,12.0,≥200% FPL,5.3,6.7
2022,Delayed getting medical care due to cost,Age groups with 65 years and older,35-49 years,9.4,65 years and older,2.7,6.7
2022,Delayed getting medical care due to cost,Age groups with 75 years and older,18-44 years,8.6,75 years and older,1.5,7.1
2022,Delayed getting medical care due to cost,Disability status,With disability,12.2,Without disability,6.5,5.699999999999999
2022,Delayed getting medical care due to cost,Functioning difficulties status,With functioning difficulties,9.9,Without functioning difficulties,4.7,5.2
2022,Delayed getting medical care due to cost,Marital status,Living with a partner,11.8,Married,5.3,6.500000000000001
2022,Delayed getting medical care due to cost,Nativity,Foreign-born,8.6,U.S.-born,6.6,2.0
